time,pressure,timeShift,pressureShift,
0.306478724,27.54946728,-2.693521276,33.54946728,6
0.519661174,27.38964992,-2.480338826,33.38964992,
0.641446628,27.33637747,-2.358553372,33.33637747,
0.793296274,27.70928463,-2.206703726,33.70928463,
0.945748131,27.38964992,-2.054251869,33.38964992,
1.219707498,27.33637747,-1.780292502,33.33637747,
1.371557144,27.70928463,-1.628442856,33.70928463,
1.371881411,27.33637747,-1.628118589,33.33637747,
1.523823705,27.60273973,-1.476176295,33.60273973,
1.584832241,27.44292237,-1.415167759,33.44292237,
1.675627027,28.02891933,-1.324372973,34.02891933,
1.797968367,27.33637747,-1.202031633,33.33637747,
1.949632718,27.92237443,-1.050367282,33.92237443,
2.102130898,27.54946728,-0.897869102,33.54946728,
2.162490901,28.13546423,-0.837509099,34.13546423,
2.223592085,27.86910198,-0.776407915,33.86910198,
2.345006949,28.24200913,-0.654993051,34.24200913,
2.497690424,27.65601218,-0.502309576,33.65601218,
2.679882205,28.13546423,-0.320117795,34.13546423,
3.075488055,28.18873668,0.075488055,34.18873668,
3.288902124,27.76255708,0.288902124,33.76255708,
3.684785918,27.49619482,0.684785918,33.49619482,
4.080577063,27.33637747,1.080577063,33.33637747,
4.415637615,27.01674277,1.415637615,33.01674277,
4.811475084,26.80365297,1.811475084,32.80365297,
5.268413738,26.32420091,2.268413738,32.32420091,
5.877387334,26.00456621,2.877387334,32.00456621,
6.334279664,25.57838661,3.334279664,31.57838661,
6.760644564,25.2587519,3.760644564,31.2587519,
7.278499107,24.7260274,4.278499107,30.7260274,
7.6743829,24.45966514,4.6743829,30.45966514,
8.313930249,23.98021309,5.313930249,29.98021309,
8.831645821,23.60730594,5.831645821,29.60730594,
9.410277281,23.18112633,6.410277281,29.18112633,
9.897511746,22.86149163,6.897511746,28.86149163,
10.29348819,22.48858447,7.29348819,28.48858447,
10.7808153,22.06240487,7.7808153,28.06240487,
11.26800344,21.79604262,8.26800344,27.79604262,
11.66393356,21.47640791,8.66393356,27.47640791,
12.21199126,21.21004566,9.21199126,27.21004566,
12.79053008,20.89041096,9.79053008,26.89041096,
13.12563695,20.51750381,10.12563695,26.51750381,
13.55181656,20.4109589,10.55181656,26.4109589,
13.85611806,20.46423135,10.85611806,26.46423135,
14.13035537,20.0913242,11.13035537,26.0913242,
14.28234399,20.304414,11.28234399,26.304414,
14.43484217,19.93150685,11.43484217,25.93150685,
14.64765403,20.1978691,11.64765403,26.1978691,
14.80010588,19.8782344,11.80010588,25.8782344,
15.04344517,20.03805175,12.04344517,26.03805175,
15.2870624,19.8782344,12.2870624,25.8782344,
15.53105023,19.29223744,12.53105023,25.29223744,
15.62207663,19.61187215,12.62207663,25.61187215,
15.86574019,19.39878234,12.86574019,25.39878234,
16.07859837,19.61187215,13.07859837,25.61187215,
16.17013434,19.34550989,13.17013434,25.34550989,
16.32230825,19.34550989,13.32230825,25.34550989,
16.44432533,19.02587519,13.44432533,25.02587519,
16.87041228,19.02587519,13.87041228,25.02587519,
17.08368738,18.75951294,14.08368738,24.75951294,
17.38803521,18.75951294,14.38803521,24.75951294,
17.44909007,18.54642314,14.44909007,24.54642314,
17.69247568,18.65296804,14.69247568,24.65296804,
18.02776785,18.06697108,15.02776785,24.06697108,
18.36333797,17.16133942,15.36333797,23.16133942,
18.57744689,15.93607306,15.57744689,21.93607306,
18.88239693,15.2435312,15.88239693,21.2435312,
19.15686586,14.6042618,16.15686586,20.6042618,
19.40122427,13.59208524,16.40122427,19.59208524,
19.79798822,12.31354642,16.79798822,18.31354642,
20.4997022,10.34246575,17.4997022,16.34246575,
21.01806631,9.223744292,18.01806631,15.22374429,
21.56700417,7.945205479,18.56700417,13.94520548,
22.23754219,6.826484018,19.23754219,12.82648402,
22.664324,6.02739726,19.664324,12.02739726,
22.72593475,5.175038052,19.72593475,11.17503805,
22.93851499,5.707762557,19.93851499,11.70776256,
23.18296605,4.589041096,20.18296605,10.5890411,
23.60891404,4.748858447,20.60891404,10.74885845,
23.73139435,3.896499239,20.73139435,9.896499239,
24.06594534,4.162861492,21.06594534,10.16286149,
24.24943419,3.150684932,21.24943419,9.150684932,
24.43176494,3.470319635,21.43176494,9.470319635,
24.9500364,2.458143075,21.9500364,8.458143075,
25.01044272,2.99086758,22.01044272,8.99086758,
25.22418106,2.191780822,22.22418106,8.191780822,
25.43713189,2.298325723,22.43713189,8.298325723,
25.62001853,1.97869102,22.62001853,7.97869102,
25.77209979,2.085235921,22.77209979,8.085235921,
26.10725299,1.659056317,23.10725299,7.659056317,
26.167613,2.245053272,23.167613,8.245053272,
27.56863212,1.073059361,24.56863212,7.073059361,
27.65938058,1.712328767,24.65938058,7.712328767,
27.81224935,0.913242009,24.81224935,6.913242009,
29.45632983,0.220700152,26.45632983,6.220700152,
30.27830058,-0.0456621,27.27830058,5.9543379,
31.31336113,-0.365296804,28.31336113,5.634703196,
32.10485077,-0.578386606,29.10485077,5.421613394,
32.95688571,-0.418569254,29.95688571,5.581430746,
33.20050294,-0.578386606,30.20050294,5.421613394,
33.38246311,0.167427702,30.38246311,6.167427702,
33.56567401,-0.525114155,30.56567401,5.474885845,
33.99097346,0.380517504,30.99097346,6.380517504,
34.14356429,-0.098934551,31.14356429,5.901065449,
34.72136192,0.433789954,31.72136192,6.433789954,
